Timestamp,Distance (mm)
2024-05-27 14:32:19,159
2024-05-27 14:32:21,160
2024-05-27 14:32:23,161
2024-05-27 14:32:25,160
2024-05-27 14:32:27,158
2024-05-27 14:32:29,157
2024-05-27 14:32:31,159
2024-05-27 14:32:33,162
2024-05-27 14:32:35,158
2024-05-27 14:32:37,160
2024-05-27 14:32:39,161
2024-05-27 14:32:41,159
2024-05-27 14:32:43,160
2024-05-27 14:32:45,161
2024-05-27 14:32:47,162
2024-05-27 14:32:49,157
2024-05-27 14:32:51,158
2024-05-27 14:32:53,161
2024-05-27 14:32:55,160
2024-05-27 14:32:57,159
2024-05-27 14:32:59,159
2024-05-27 14:33:01,161
2024-05-27 14:33:03,159
2024-05-27 14:33:05,161
2024-05-27 14:33:07,161
2024-05-27 14:33:09,161
2024-05-27 14:33:11,159
2024-05-27 14:33:13,160
2024-05-27 14:33:15,159
2024-05-27 14:33:17,161
2024-05-27 14:33:19,161
2024-05-27 14:33:21,159
2024-05-27 14:33:23,161
2024-05-27 14:33:25,160
2024-05-27 14:33:27,162
2024-05-27 14:33:29,160
2024-05-27 14:33:31,161
2024-05-27 14:33:33,160
2024-05-27 14:33:35,161
2024-05-27 14:33:37,161
2024-05-27 14:33:39,160
2024-05-27 14:33:41,162
2024-05-27 14:33:43,161
2024-05-27 14:33:45,161
2024-05-27 14:33:47,160
2024-05-27 14:33:49,161
2024-05-27 14:33:51,161
2024-05-27 14:33:53,161
2024-05-27 14:33:55,163
2024-05-27 14:33:57,159
2024-05-27 14:33:59,161
2024-05-27 14:34:01,163
2024-05-27 14:34:03,163
2024-05-27 14:34:05,160
2024-05-27 14:34:07,161
2024-05-27 14:34:09,160
2024-05-27 14:34:11,162
2024-05-27 14:34:13,160
2024-05-27 14:34:15,161
2024-05-27 14:34:17,159
2024-05-27 14:34:19,161
2024-05-27 14:34:21,157
2024-05-27 14:34:23,159
2024-05-27 14:34:25,163
2024-05-27 14:34:27,158
2024-05-27 14:34:29,159
2024-05-27 14:34:31,161
2024-05-27 14:34:33,162
2024-05-27 14:34:35,161
2024-05-27 14:34:37,160
2024-05-27 14:34:39,160
2024-05-27 14:34:41,158
2024-05-27 14:34:43,159
2024-05-27 14:34:45,161
2024-05-27 14:34:47,158
2024-05-27 14:34:49,159
2024-05-27 14:34:51,160
2024-05-27 14:34:53,160
2024-05-27 14:34:55,159
2024-05-27 14:34:57,159
2024-05-27 14:34:59,161
2024-05-27 14:35:01,161
2024-05-27 14:35:03,161
2024-05-27 14:35:05,160
2024-05-27 14:35:07,158
2024-05-27 14:35:09,163
2024-05-27 14:35:11,161
2024-05-27 14:35:13,162
2024-05-27 14:35:15,160
2024-05-27 14:35:17,160
2024-05-27 14:35:19,158
2024-05-27 14:35:21,160
2024-05-27 14:35:23,158
2024-05-27 14:35:25,158
2024-05-27 14:35:27,160
2024-05-27 14:35:29,160
2024-05-27 14:35:31,161
2024-05-27 14:35:33,161
2024-05-27 14:35:35,161
2024-05-27 14:35:37,161
2024-05-27 14:35:39,158
2024-05-27 14:35:41,160
2024-05-27 14:35:43,159
2024-05-27 14:35:45,161
2024-05-27 14:35:47,160
2024-05-27 14:35:49,157
2024-05-27 14:35:51,159
2024-05-27 14:35:53,160
2024-05-27 14:35:55,160
2024-05-27 14:35:57,160
2024-05-27 14:35:59,160
2024-05-27 14:36:01,159
2024-05-27 14:36:03,162
2024-05-27 14:36:05,160
2024-05-27 14:36:07,160
2024-05-27 14:36:09,159
2024-05-27 14:36:11,158
2024-05-27 14:36:13,161
2024-05-27 14:36:15,160
2024-05-27 14:36:17,160
2024-05-27 14:36:19,160
2024-05-27 14:36:21,160
2024-05-27 14:36:23,163
2024-05-27 14:36:25,162
2024-05-27 14:36:27,160
2024-05-27 14:36:29,161
2024-05-27 14:36:31,158
2024-05-27 14:36:33,163
2024-05-27 14:36:35,161
2024-05-27 14:36:37,159
2024-05-27 14:36:39,158
2024-05-27 14:36:41,160
2024-05-27 14:36:43,159
2024-05-27 14:36:45,159
2024-05-27 14:36:47,160
2024-05-27 14:36:49,159
2024-05-27 14:36:51,159
2024-05-27 14:36:53,160
2024-05-27 14:36:55,160
2024-05-27 14:36:57,160
2024-05-27 14:36:59,159
